随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.082903694,6.725768474,6.015915178,1.709511291
0.6,1.088990746,6.623407626,2.17815821,3.489783845
0.61,1.068308796,6.409050291,6.015915178,1.709511291
0.62,0.695022614,7.536155467,5.233391296,1.71867318
0.63,0.901538186,7.386082853,2.360541062,3.489783845
0.64,1.317727328,8.266335028,2.459890961,3.094814088
0.65,1.299707269,7.824410787,2.296269978,3.489783845
0.66,1.220268974,8.164644452,2.543562214,2.738782659
0.67,1.271550548,8.718595906,3.992414517,1.709511291
0.68,1.188570476,7.797616866,5.344374582,1.709511291
0.69,1.210650299,7.822152003,2.36099927,3.337123269
0.7,1.210650299,7.822152003,2.36099927,3.337123269
0.71,1.25178316,8.599035876,3.490549215,1.709511291
0.72,1.230367609,7.797616866,5.816327737,1.709511291
0.73,1.281903828,7.933722245,6.518466973,1.709511291
0.74,1.281884979,7.936561079,2.307840272,3.427456751
0.75,1.229928419,7.531117813,5.948240669,1.709511291
0.76,1.265116637,7.665028633,6.192924823,1.709511291
0.77,1.267714337,7.672566063,6.227479323,1.709511291
0.78,1.206861738,7.840576944,4.919933195,1.709511291
0.79,1.053914412,7.702943821,4.675487891,1.709511291
0.8,1.283223967,7.722866821,6.487262456,1.709511291
0.81,1.252393128,7.915153553,5.208475686,1.709511291
0.82,1.269773867,7.711356947,6.153602927,1.709511291
0.83,0.696490994,7.628440764,4.281400037,2.280087875
0.84,1.27084564,7.916633566,5.536374536,1.709511291
0.85,1.289739123,7.823992687,2.236671903,3.489783845
0.86,1.308877914,8.051941786,6.119394893,1.709511291
0.87,1.027229674,7.860389211,3.86559415,1.709511291
0.88,1.215681843,7.633474374,5.789333729,1.709511291
0.89,1.1507964,7.704372828,4.919661739,1.709511291
0.9,1.250379846,7.897161641,5.964034113,1.709511291
,1.317727328,8.718595906,6.518466973,3.489783845
