Ëæ»úÖµ,1,2,3,4,5
0.59,2.03740254,1.774384704,1.508992009,1.29945833,1.130158099
0.6,2.03740254,1.774384704,1.508992009,1.421871331,1.349384962
0.61,2.03740254,1.774384704,1.508992009,1.413885543,1.130292604
0.62,2.03740254,1.774384704,1.508992009,1.474763624,1.416558107
0.63,2.03740254,1.774384704,1.508992009,1.363494835,1.293243993
0.64,2.03740254,1.774384704,1.508992009,1.425478168,1.084635291
0.65,2.03740254,1.774384704,1.508992009,1.365762983,1.339417665
0.66,2.03740254,1.774384704,1.508992009,1.365762983,1.082745688
0.67,2.03740254,1.774384704,1.568693094,1.285032796,1.256179251
0.68,2.03740254,1.774384704,1.631228348,1.365762983,1.345775293
0.69,2.03740254,1.774384704,1.631228348,1.374526412,1.082732085
0.7,2.03740254,1.774384704,1.631228348,1.374526412,1.082732085
0.71,2.03740254,1.774384704,1.527012092,1.366612717,1.082782841
0.72,2.03740254,1.774384704,1.721386611,1.366612717,1.083787485
0.73,2.03740254,1.774384704,1.51160588,1.285032796,1.083590085
0.74,2.03740254,1.774384704,1.51160588,1.285032796,1.082732085
0.75,2.03740254,1.774384704,1.51160588,1.285032796,1.085330716
0.76,2.03740254,1.774384704,1.51160588,1.285032796,1.084557691
0.77,2.03740254,1.774384704,1.51160588,1.49294605,1.083787485
0.78,2.03740254,1.774384704,1.51160588,1.285032796,1.125645584
0.79,2.03740254,1.774384704,1.51160588,1.287281846,1.125645584
0.8,2.03740254,1.774384704,1.51160588,1.287281846,1.125645584
0.81,2.03740254,1.774384704,1.537252274,1.287281846,1.112661744
0.82,2.03740254,1.690023262,1.567318757,1.285032796,1.085233192
0.83,2.03740254,1.714696169,1.436084654,1.247286221,1.112661744
0.84,2.03740254,1.714696169,1.51160588,1.287281846,1.115097842
0.85,2.03740254,1.714696169,1.51160588,1.287281846,1.126275608
0.86,2.03740254,1.714696169,1.436084654,1.242389006,1.112661744
0.87,2.03740254,1.714696169,1.519756493,1.281973395,1.080927922
0.88,2.03740254,1.714696169,1.43631408,1.285032796,1.082296241
0.89,2.03740254,1.714696169,1.43631408,1.281513088,1.080927922
0.9,2.03740254,1.714696169,1.43631408,1.285032796,1.243050074
