随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.444357804,7.835597406,4.473869044,1.709511291
0.6,1.488919688,8.82902125,3.606746908,1.709511291
0.61,1.419121088,7.682766943,2.353223345,3.489783845
0.62,1.510494011,9.620320986,2.953423257,2.237819971
0.63,1.475359587,8.441312752,4.974660949,1.709511291
0.64,1.346907557,7.222988955,2.28937794,3.489783845
0.65,1.486976044,8.747843525,5.907838929,1.709511291
0.66,1.402728245,7.528916746,2.378792549,3.489783845
0.67,1.447336927,7.356454119,6.828738476,1.709511291
0.68,1.488635176,6.846334529,6.990250106,1.709511291
0.69,1.386042402,3.596930561,4.577947321,3.489783845
0.7,1.386042402,3.596930561,4.577947321,3.489783845
0.71,1.394411531,7.15429245,2.377388229,3.489783845
0.72,1.346191371,3.488777186,4.855642179,3.308411764
0.73,1.445676031,7.71535386,4.343989774,1.709511291
0.74,1.445577528,7.713533574,4.322774374,1.709511291
0.75,1.445876544,7.719056838,4.384771307,1.709511291
0.76,1.445787383,7.717410601,4.367015083,1.709511291
0.77,1.317798903,7.037055114,2.205844049,3.489783845
0.78,1.450790051,7.810235673,4.951139759,1.709511291
0.79,1.450790051,7.810158188,4.891027604,1.709511291
0.8,1.450790051,7.810158188,4.891027604,1.709511291
0.81,1.449148979,7.179051912,5.150497807,1.709511291
0.82,1.484148522,3.690387156,4.866244414,2.814781823
0.83,1.476813969,7.710444258,4.345104093,1.709511291
0.84,1.477234015,5.665224429,4.30343488,1.709511291
0.85,1.479200143,5.959319399,4.459737787,1.709511291
0.86,1.476813969,7.722284616,4.501804015,1.709511291
0.87,1.47160114,3.765228479,4.176908036,1.999514602
0.88,1.471816445,7.571181071,2.543808182,2.739039987
0.89,1.47160114,7.556393371,2.54989097,2.686213642
0.9,1.504450126,8.457045768,5.424063768,1.709511291
,1.510494011,9.620320986,6.990250106,3.489783845
