Ëæ»úÖµ,1,2,3,4,5
0.59,1.993349342,1.657336486,1.435384502,1.142205773,1.154596312
0.6,1.993349342,1.657336486,1.435384502,1.142205773,1.154897035
0.61,1.993349342,1.657336486,1.435384502,1.142205773,1.154897035
0.62,1.993349342,1.657336486,1.435384502,1.323980049,1.154535131
0.63,1.993349342,1.657336486,1.542172036,1.324262044,1.154535131
0.64,1.993349342,1.657336486,1.542172036,1.324262044,1.277145592
0.65,1.993349342,1.657336486,1.542222646,1.376308277,1.294452871
0.66,1.993349342,1.657336486,1.479715087,1.312989988,1.183263326
0.67,1.993349342,1.657336486,1.452167037,1.293464789,1.06729309
0.68,1.993349342,1.657336486,1.452167037,1.293464789,1.184326544
0.69,1.993349342,1.657336486,1.452167037,1.293464789,1.201245285
0.7,1.993349342,1.657336486,1.43434139,1.320612905,1.216102907
0.71,1.993349342,1.657336486,1.465111177,1.36271969,1.035259788
0.72,1.993349342,1.657336486,1.465111177,1.36271969,1.035259788
0.73,1.993349342,1.657336486,1.369290582,1.164892644,1.035259788
0.74,1.993349342,1.657336486,1.481031066,1.373399651,1.327259456
0.75,1.993349342,1.657336486,1.462057862,1.37652876,1.32883894
0.76,1.993349342,1.657336486,1.462057862,1.374502229,1.307716679
0.77,1.993349342,1.657336486,1.465111177,1.185054197,1.071914933
0.78,1.993349342,1.657336486,1.481031066,1.362762921,1.304557812
0.79,1.993349342,1.657336486,1.481031066,1.185054197,1.071459171
0.8,1.993349342,1.657336486,1.481031066,1.185054197,1.032535
0.81,1.993349342,1.657336486,1.481031066,1.185054197,1.135253292
0.82,1.993349342,1.657336486,1.374039292,1.213676675,1.084034855
0.83,1.993349342,1.657185512,1.454417816,1.324076763,1.262615091
0.84,1.993349342,1.657336486,1.54094689,1.376308277,1.203584649
0.85,1.993349342,1.657336486,1.54094689,1.310000155,1.263321325
0.86,1.993349342,1.657336486,1.374039292,1.253028949,1.090251573
0.87,1.993349342,1.657336486,1.54094689,1.253034652,1.05599679
0.88,1.993349342,1.657336486,1.374039292,1.253034652,1.217732066
0.89,1.993349342,1.657336486,1.374039292,1.253034652,1.204588066
0.9,1.993349342,1.657336486,1.542847949,1.253337326,1.202367946
