随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.498652079,7.537551254,7.565243886,1.614233422
0.6,1.498652079,7.538184745,7.565423048,1.612197467
0.61,1.498652079,7.538184745,7.565423048,1.612197467
0.62,1.501567125,7.117493862,2.568747701,2.6572249
0.63,1.501567125,3.759681205,4.49955764,2.633335659
0.64,1.538955371,6.00287003,5.734710349,1.709511291
0.65,1.545888899,5.411114617,4.647945835,1.709511291
0.66,1.508856253,5.99925558,3.884928057,1.709511291
0.67,1.483217202,5.988947469,2.47375078,2.874897934
0.68,1.509140382,6.917661057,4.168336827,1.709511291
0.69,1.513811664,7.110167664,4.473867235,1.709511291
0.7,1.518161384,7.435925007,3.178817333,1.709511291
0.71,1.477608353,6.374633936,2.31081961,3.46465361
0.72,1.477608353,6.374633936,2.31081961,3.46465361
0.73,1.477608353,7.719457266,4.614639513,1.709511291
0.74,1.560637409,7.53108677,4.624157941,1.709511291
0.75,1.561407396,7.953775528,4.199288778,1.709511291
0.76,1.551580203,7.66372746,3.663757395,1.709511291
0.77,1.484070322,6.335330702,5.440484178,1.709511291
0.78,1.550193131,7.293430406,4.504369642,1.709511291
0.79,1.483985677,5.995857514,5.535486717,1.709511291
0.8,1.477154416,5.106562199,5.234691553,1.709511291
0.81,1.497060261,6.704329271,6.286817676,1.709511291
0.82,1.486363905,7.813725154,3.832310953,1.709511291
0.83,1.533642521,7.545693107,4.642969612,1.709511291
0.84,1.514480627,3.820562154,3.805180917,2.653269612
0.85,1.533779838,5.996501635,5.844640725,1.709511291
0.86,1.487573187,7.85866253,2.626384266,2.51082019
0.87,1.481180046,3.674207346,4.957158373,2.854052794
0.88,1.518653329,8.743136394,5.183185492,1.709511291
0.89,1.514769346,8.617085944,4.868629038,1.709511291
0.9,1.514131976,5.756163873,6.164361761,1.709511291
,1.561407396,8.743136394,7.565423048,3.46465361
