随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.539693424,5.726861555,5.268638176,1.709511291
0.6,1.51362329,3.871851606,3.783614725,1.836316586
0.61,1.516321915,3.863476243,4.115343233,1.818884603
0.62,1.558000807,6.514778217,4.558346005,1.709511291
0.63,1.570207034,6.57729892,5.197797359,1.709511291
0.64,1.543287753,5.903205006,5.417160345,1.709511291
0.65,1.543677379,6.063428683,2.45516676,2.936706043
0.66,1.516325805,3.852563922,3.230860722,2.610234989
0.67,1.516453911,3.87061041,2.774387297,2.544552264
0.68,1.516335377,3.852484996,4.243030884,1.924360729
0.69,1.545481956,6.254842265,5.422244146,1.709511291
0.7,1.551641921,6.461015845,5.692620491,1.709511291
0.71,1.523571739,4.739936281,4.510448241,1.709511291
0.72,1.568989985,6.295884112,5.262424782,1.709511291
0.73,1.516325805,3.863495888,4.10815258,1.828840503
0.74,1.544816471,6.438921274,2.428510933,3.027239486
0.75,1.53239417,3.826870398,3.847897515,2.761176173
0.76,1.551636783,6.445792601,5.69800114,1.709511291
0.77,1.523571739,4.488073971,4.553569598,1.709511291
0.78,1.55682382,6.155062418,4.769556088,1.709511291
0.79,1.539882305,3.889835911,3.670601092,2.476204422
0.8,1.545446683,6.100483325,2.575190134,2.571034344
0.81,1.52574764,3.87822872,3.862182141,2.183894592
0.82,1.545446683,6.282132013,5.420926279,1.709511291
0.83,1.513060143,3.839236737,3.602743038,2.540765244
0.84,1.511922618,3.833679752,3.321702203,2.691502194
0.85,1.52609854,3.904552044,2.903203556,2.323660791
0.86,1.550077448,6.778482012,5.831408064,1.709511291
0.87,1.583359173,6.252664829,2.547803217,2.727169401
0.88,1.555435184,5.398831968,4.834503091,1.709511291
0.89,1.528896646,3.830658798,3.830306577,2.718415417
0.9,1.52793333,3.879828924,3.824388962,2.251927568
,1.583359173,6.778482012,5.831408064,3.027239486
